sample_name,case_id,image_id,feature_name,lesion_pixels,lesion_ratio,lesion_mean_activation,background_mean_activation,lesion_background_diff,lesion_background_ratio,pred_prob_on_lesion
005__0006__0006_022,0006,0006_022,pet2,529.0,0.002017974853515625,0.35140740262988834,0.7623417283030407,-0.41093432567315236,0.4609578481452341,0.8734873319167946
005__0006__0006_022,0006,0006_022,ct3,529.0,0.002017974853515625,0.44714678528178164,0.02767481780837299,0.41947196747340865,16.15717177897727,0.8734873319167946
005__0006__0006_022,0006,0006_022,pet3,529.0,0.002017974853515625,0.2666872886268313,0.015051534794987387,0.2516357538318439,17.71827871770566,0.8734873319167946
005__0006__0006_022,0006,0006_022,ct4,529.0,0.002017974853515625,0.18408381961469164,0.23015819405424,-0.04607437443954837,0.7998143206290093,0.8734873319167946
005__0006__0006_022,0006,0006_022,pet4,529.0,0.002017974853515625,0.1494244177084564,0.17023788833304665,-0.02081347062459024,0.8777389050792759,0.8734873319167946
006__0006__0006_004,0006,0006_004,ct1,150.0,0.00057220458984375,0.3597376759847005,0.32612188280075116,0.03361579318394936,1.1030773920941925,0.9681212361653646
006__0006__0006_004,0006,0006_004,pet1,150.0,0.00057220458984375,0.12129539489746094,0.4607461788247059,-0.339450783927245,0.2632586019635957,0.9681212361653646
006__0006__0006_004,0006,0006_004,ct2,150.0,0.00057220458984375,0.49532333374023435,0.927353536722215,-0.43203020298198064,0.5341256749728733,0.9681212361653646
006__0006__0006_004,0006,0006_004,pet2,150.0,0.00057220458984375,0.5123288981119791,0.8600338891348657,-0.34770499102288654,0.5957078024301419,0.9681212361653646
006__0006__0006_004,0006,0006_004,ct3,150.0,0.00057220458984375,0.13300224304199218,0.02592039992447346,0.10708184311751873,5.131180206691735,0.9681212361653646
006__0006__0006_004,0006,0006_004,pet3,150.0,0.00057220458984375,0.2222443644205729,0.008995702452572864,0.21324866196800005,24.705615330463573,0.9681212361653646
006__0006__0006_004,0006,0006_004,ct4,150.0,0.00057220458984375,0.26939325968424477,0.31676983776346024,-0.04737657807921547,0.8504384810949308,0.9681212361653646
006__0006__0006_004,0006,0006_004,pet4,150.0,0.00057220458984375,0.1902663803100586,0.20422760158629588,-0.013961221276237279,0.9316389108631921,0.9681212361653646
007__0006__0006_023,0006,0006_023,ct1,529.0,0.002017974853515625,0.3756819726839408,0.34090134835540775,0.03478062432853307,1.102025481847823,0.8403669908952622
007__0006__0006_023,0006,0006_023,pet1,529.0,0.002017974853515625,0.1551871489036286,0.488520105880779,-0.3333329569771504,0.3176678851811706,0.8403669908952622
007__0006__0006_023,0006,0006_023,ct2,529.0,0.002017974853515625,0.6006274737121928,0.9484808306098657,-0.3478533568976728,0.6332520956970676,0.8403669908952622
007__0006__0006_023,0006,0006_023,pet2,529.0,0.002017974853515625,0.3590849676294453,0.7234411730978728,-0.3643562054684275,0.49635683035815475,0.8403669908952622
007__0006__0006_023,0006,0006_023,ct3,529.0,0.002017974853515625,0.47023774635588966,0.0286614029382394,0.4415763434176503,16.40665487900835,0.8403669908952622
007__0006__0006_023,0006,0006_023,pet3,529.0,0.002017974853515625,0.26122703624357574,0.014490692131089578,0.24673634411248616,18.027229747233175,0.8403669908952622
007__0006__0006_023,0006,0006_023,ct4,529.0,0.002017974853515625,0.1783090313801468,0.2263056071182845,-0.0479965757381377,0.7879125650074987,0.8403669908952622
007__0006__0006_023,0006,0006_023,pet4,529.0,0.002017974853515625,0.16346100372718278,0.18586157437933604,-0.022400570652153257,0.8794771284653244,0.8403669908952622
