rank,sample_id,group,teacher_dice,student_dice,dice_gap,teacher_iou,student_iou,teacher_acc,student_acc,teacher_hd95,student_hd95,hd95_gap
3861,1299,easy,0.8106,0.8292,-0.0186,0.6815,0.7082,0.8615,0.8648,9.06,9.06,0.00
3862,4418,easy,0.7346,0.7532,-0.0186,0.5805,0.6041,0.9472,0.9091,5.88,7.28,1.40
3863,544,easy,0.8498,0.8684,-0.0186,0.7388,0.7674,0.9037,0.9156,14.07,10.19,-3.88
3864,3478,easy,0.8868,0.9054,-0.0186,0.7966,0.8271,0.9831,0.9695,5.00,5.00,0.00
3865,3945,easy,0.6786,0.6972,-0.0187,0.5135,0.5352,0.9522,0.9522,2.24,2.24,0.00
3866,1141,easy,0.7110,0.7296,-0.0187,0.5515,0.5744,0.7801,0.7932,5.07,5.00,-0.07
3867,1201,easy,0.8966,0.9153,-0.0187,0.8125,0.8438,0.9333,0.9500,1.00,1.00,0.00
3868,1748,easy,0.7500,0.7688,-0.0188,0.6000,0.6244,0.8170,0.8299,5.00,5.11,0.11
3869,2025,easy,0.3333,0.3521,-0.0188,0.2000,0.2137,0.9798,0.9998,6.76,6.45,-0.31
3870,3692,easy,0.7879,0.8067,-0.0188,0.6500,0.6760,0.8576,0.8515,10.20,9.22,-0.98
3871,4315,easy,0.5379,0.5567,-0.0188,0.3679,0.3857,0.6839,0.6929,9.13,8.99,-0.13
3872,3884,easy,0.9018,0.9206,-0.0189,0.8211,0.8529,0.9828,0.9851,3.16,2.32,-0.84
3873,1355,easy,0.8627,0.8817,-0.0189,0.7586,0.7884,0.8846,0.9038,6.00,2.24,-3.76
3874,4285,easy,0.8730,0.8920,-0.0190,0.7746,0.8050,0.9744,0.9757,15.33,16.15,0.81
3875,607,easy,0.8537,0.8727,-0.0190,0.7448,0.7742,0.9964,0.9999,2.24,2.00,-0.24
3876,1633,easy,0.8592,0.8782,-0.0190,0.7532,0.7829,0.9722,0.9722,1.41,1.41,0.00
3877,121,easy,0.7651,0.7841,-0.0190,0.6195,0.6449,0.9149,0.9509,2.24,2.00,-0.24
3878,1634,easy,0.8271,0.8462,-0.0190,0.7052,0.7333,0.9840,0.9801,2.24,2.00,-0.24
3879,1581,easy,0.8649,0.8839,-0.0191,0.7619,0.7920,0.9660,0.9805,1.00,1.00,0.00
3880,4306,easy,0.4603,0.4793,-0.0191,0.2989,0.3152,0.6519,0.6602,10.98,9.98,-0.99
3881,3666,easy,0.6303,0.6494,-0.0191,0.4601,0.4808,0.8166,0.7411,21.01,14.42,-6.59
3882,1658,easy,0.9070,0.9262,-0.0191,0.8299,0.8625,0.9770,0.9816,2.00,1.41,-0.59
